voter_name,affiliation,year,award,player,points_given
Antoni Daimiel,Movistar+,2022,All-NBA,Stephen Curry,3
Antoni Daimiel,Movistar+,2022,All-NBA,DeMar DeRozan,1
Antoni Daimiel,Movistar+,2022,All-NBA,Kevin Durant,1
Antoni Daimiel,Movistar+,2022,All-NBA,Bam Adebayo,1
Antoni Daimiel,Movistar+,2022,All-NBA,Chris Paul,1
Antoni Daimiel,Movistar+,2022,All-NBA,Trae Young,1
Antoni Daimiel,Movistar+,2022,All-Rook,Cade Cunningham,2
Antoni Daimiel,Movistar+,2022,All-Rook,Evan Mobley,2
Antoni Daimiel,Movistar+,2022,All-Rook,Scottie Barnes,2
Antoni Daimiel,Movistar+,2022,All-Rook,Josh Giddey,2
Antoni Daimiel,Movistar+,2022,All-Rook,Franz Wagner,2
Antoni Daimiel,Movistar+,2022,All-Rook,Jalen Green,1
Antoni Daimiel,Movistar+,2022,All-Rook,Ayo Dosunmu,1
Antoni Daimiel,Movistar+,2022,All-Rook,Herbert Jones,1
Antoni Daimiel,Movistar+,2022,All-Rook,Chris Duarte,1
Antoni Daimiel,Movistar+,2022,All-Rook,Bones Hyland,1
Antoni Daimiel,Movistar+,2022,COY,Taylor Jenkins,5
Antoni Daimiel,Movistar+,2022,COY,Monty Williams,3
Antoni Daimiel,Movistar+,2022,COY,Tyronn Lue,1
Antoni Daimiel,Movistar+,2022,DPOY,Robert Williams III,5
Antoni Daimiel,Movistar+,2022,DPOY,Mikal Bridges,3
Antoni Daimiel,Movistar+,2022,DPOY,Draymond Green,1
Antoni Daimiel,Movistar+,2022,MIP,Tyrese Maxey,5
Antoni Daimiel,Movistar+,2022,MIP,Ja Morant,3
Antoni Daimiel,Movistar+,2022,MIP,Desmond Bane,1
Antoni Daimiel,Movistar+,2022,MVP,Nikola Jokic,10
Antoni Daimiel,Movistar+,2022,MVP,Joel Embiid,7
Antoni Daimiel,Movistar+,2022,MVP,Giannis Antetokounmpo,5
Antoni Daimiel,Movistar+,2022,MVP,Devin Booker,3
Antoni Daimiel,Movistar+,2022,MVP,Luka Doncic,1
Antoni Daimiel,Movistar+,2022,ROY,Cade Cunningham,5
Antoni Daimiel,Movistar+,2022,ROY,Evan Mobley,3
Antoni Daimiel,Movistar+,2022,ROY,Scottie Barnes,1
Antoni Daimiel,Movistar+,2022,SMOY,Tyler Herro,5
Antoni Daimiel,Movistar+,2022,SMOY,Cameron Johnson,3
Antoni Daimiel,Movistar+,2022,SMOY,Kevin Love,1
Bill Oram,The Athletic,2022,All-Defense,Mikal Bridges,2
Bill Oram,The Athletic,2022,All-Defense,Giannis Antetokounmpo,2
Bill Oram,The Athletic,2022,All-Defense,Rudy Gobert,2
Bill Oram,The Athletic,2022,All-Defense,Marcus Smart,2
Bill Oram,The Athletic,2022,All-Defense,Jrue Holiday,2
Bill Oram,The Athletic,2022,All-Defense,Bam Adebayo,1
Bill Oram,The Athletic,2022,All-Defense,Jaren Jackson Jr.,1
Bill Oram,The Athletic,2022,All-Defense,Robert Williams III,1
Bill Oram,The Athletic,2022,All-Defense,Matisse Thybulle,1
Bill Oram,The Athletic,2022,All-Defense,Patrick Beverley,1
Bill Oram,The Athletic,2022,All-NBA,Giannis Antetokounmpo,5
Bill Oram,The Athletic,2022,All-NBA,Jayson Tatum,5
Bill Oram,The Athletic,2022,All-NBA,Nikola Jokic,5
Bill Oram,The Athletic,2022,All-NBA,Luka Doncic,5
Bill Oram,The Athletic,2022,All-NBA,Devin Booker,5
Bill Oram,The Athletic,2022,All-NBA,DeMar DeRozan,3
Bill Oram,The Athletic,2022,All-NBA,LeBron James,3
Bill Oram,The Athletic,2022,All-NBA,Joel Embiid,3
Bill Oram,The Athletic,2022,All-NBA,Ja Morant,3
Bill Oram,The Athletic,2022,All-NBA,Stephen Curry,3
Bill Oram,The Athletic,2022,All-NBA,Kevin Durant,1
Bill Oram,The Athletic,2022,All-NBA,Jimmy Butler,1
Bill Oram,The Athletic,2022,All-NBA,Karl-Anthony Towns,1
Bill Oram,The Athletic,2022,All-NBA,Trae Young,1
Bill Oram,The Athletic,2022,All-NBA,Chris Paul,1
Bill Oram,The Athletic,2022,All-Rook,Evan Mobley,2
Bill Oram,The Athletic,2022,All-Rook,Franz Wagner,2
Bill Oram,The Athletic,2022,All-Rook,Jalen Green,2
Bill Oram,The Athletic,2022,All-Rook,Cade Cunningham,2
Bill Oram,The Athletic,2022,All-Rook,Scottie Barnes,2
Bill Oram,The Athletic,2022,All-Rook,Chris Duarte,1
Bill Oram,The Athletic,2022,All-Rook,Bones Hyland,1
Bill Oram,The Athletic,2022,All-Rook,Ayo Dosunmu,1
Bill Oram,The Athletic,2022,All-Rook,Herbert Jones,1
Bill Oram,The Athletic,2022,All-Rook,Josh Giddey,1
Bill Oram,The Athletic,2022,COY,Taylor Jenkins,5
Bill Oram,The Athletic,2022,COY,Monty Williams,3
Bill Oram,The Athletic,2022,COY,Tyronn Lue,1
Bill Oram,The Athletic,2022,DPOY,Mikal Bridges,5
Bill Oram,The Athletic,2022,DPOY,Rudy Gobert,3
Bill Oram,The Athletic,2022,DPOY,Marcus Smart,1
Bill Oram,The Athletic,2022,MIP,Jordan Poole,5
Bill Oram,The Athletic,2022,MIP,Dejounte Murray,3
Bill Oram,The Athletic,2022,MIP,Robert Williams III,1
Bill Oram,The Athletic,2022,MVP,Nikola Jokic,10
Bill Oram,The Athletic,2022,MVP,Joel Embiid,7
Bill Oram,The Athletic,2022,MVP,Giannis Antetokounmpo,5
Bill Oram,The Athletic,2022,MVP,Devin Booker,3
Bill Oram,The Athletic,2022,MVP,Jayson Tatum,1
Bill Oram,The Athletic,2022,ROY,Evan Mobley,5
Bill Oram,The Athletic,2022,ROY,Cade Cunningham,3
Bill Oram,The Athletic,2022,ROY,Scottie Barnes,1
Bill Oram,The Athletic,2022,SMOY,Tyler Herro,5
Bill Oram,The Athletic,2022,SMOY,Cameron Johnson,3
Bill Oram,The Athletic,2022,SMOY,Kevin Love,1
Bill Reiter,CBSSports.com,2022,All-Defense,Bam Adebayo,2
Bill Reiter,CBSSports.com,2022,All-Defense,Giannis Antetokounmpo,2
Bill Reiter,CBSSports.com,2022,All-Defense,Rudy Gobert,2
Bill Reiter,CBSSports.com,2022,All-Defense,Marcus Smart,2
Bill Reiter,CBSSports.com,2022,All-Defense,Mikal Bridges,2
Bill Reiter,CBSSports.com,2022,All-Defense,Jaren Jackson Jr.,1
Bill Reiter,CBSSports.com,2022,All-Defense,Robert Williams III,1
Bill Reiter,CBSSports.com,2022,All-Defense,Joel Embiid,1
Bill Reiter,CBSSports.com,2022,All-Defense,Fred VanVleet,1
Bill Reiter,CBSSports.com,2022,All-Defense,Matisse Thybulle,1
Bill Reiter,CBSSports.com,2022,All-NBA,Giannis Antetokounmpo,5
Bill Reiter,CBSSports.com,2022,All-NBA,Jayson Tatum,5
Bill Reiter,CBSSports.com,2022,All-NBA,Nikola Jokic,5
Bill Reiter,CBSSports.com,2022,All-NBA,Luka Doncic,5
Bill Reiter,CBSSports.com,2022,All-NBA,Devin Booker,5
Bill Reiter,CBSSports.com,2022,All-NBA,LeBron James,3
Bill Reiter,CBSSports.com,2022,All-NBA,Kevin Durant,3
Bill Reiter,CBSSports.com,2022,All-NBA,Joel Embiid,3
Bill Reiter,CBSSports.com,2022,All-NBA,Stephen Curry,3
Bill Reiter,CBSSports.com,2022,All-NBA,Trae Young,3
Bill Reiter,CBSSports.com,2022,All-NBA,DeMar DeRozan,1
Bill Reiter,CBSSports.com,2022,All-NBA,Jimmy Butler,1
Bill Reiter,CBSSports.com,2022,All-NBA,Karl-Anthony Towns,1
Bill Reiter,CBSSports.com,2022,All-NBA,Ja Morant,1
Bill Reiter,CBSSports.com,2022,All-NBA,Chris Paul,1
Bill Reiter,CBSSports.com,2022,All-Rook,Cade Cunningham,2
Bill Reiter,CBSSports.com,2022,All-Rook,Franz Wagner,2
Bill Reiter,CBSSports.com,2022,All-Rook,Scottie Barnes,2
